userId,movieId,rating,timestamp
1111,141131,4,2020-09-20 15:32:10
1111,112852,5,2020-09-20 15:32:11
1111,122918,5,2020-09-20 15:32:12
1111,106696,4,2020-09-20 15:32:13
1111,106920,4,2020-09-20 15:32:14
1111,112556,3,2020-09-20 15:32:15
1111,163134,2,2020-09-20 15:32:16
1111,122922,4.5,2020-09-20 15:32:17
1111,174055,3.5,2020-09-20 15:32:18
1111,122904,5,2020-09-20 15:32:19
1111,164909,5,2020-09-20 15:32:20
1111,140956,5,2020-09-20 15:32:21
1111,168252,4.5,2020-09-20 15:32:22
1111,111360,2,2020-09-20 15:32:23
1111,134130,4,2020-09-20 15:32:24
1111,111659,4.5,2020-09-20 15:32:25
1111,103042,4,2020-09-20 15:32:26
1111,89492,3.5,2020-09-20 15:32:27
1111,183635,4.5,2020-09-20 15:32:28
1111,168366,3.5,2020-09-20 15:32:29
1111,86882,4.5,2020-09-20 15:32:30
1111,162082,3.5,2020-09-20 15:32:31
1111,176601,5,2020-09-20 15:32:32
1111,73881,3.5,2020-09-20 15:32:33
1111,80463,3.5,2020-09-20 15:32:34
1111,122926,4,2020-09-20 15:32:35
1111,158783,3.5,2020-09-20 15:32:36
1111,102125,4.5,2020-09-20 15:32:37
1111,188301,4.5,2020-09-20 15:32:38
1111,89745,5,2020-09-20 15:32:39
1111,122892,5,2020-09-20 15:32:40
1111,122912,5,2020-09-20 15:32:41
1111,111759,4.5,2020-09-20 15:32:42
1111,180985,5,2020-09-20 15:32:43
1111,79132,4,2020-09-20 15:32:44
1111,109487,4.5,2020-09-20 15:32:45
1111,140110,5,2020-09-20 15:32:46
1111,152081,5,2020-09-20 15:32:47
1111,1246,4.5,2020-09-20 15:32:48
1111,122920,5,2020-09-20 15:32:49
1111,110102,5,2020-09-20 15:32:50
1111,164179,4.5,2020-09-20 15:32:51
1111,177765,4.5,2020-09-20 15:32:52
1111,59784,4.5,2020-09-20 15:32:53
1111,87222,4.5,2020-09-20 15:32:54
1111,149406,4.5,2020-09-20 15:32:55
1111,1721,5,2020-09-20 15:32:56
1111,106072,4.5,2020-09-20 15:32:57
1111,122916,4.5,2020-09-20 15:32:58
1111,86332,5,2020-09-20 15:32:59
1111,88140,5,2020-09-20 15:33:00
1111,103228,1,2020-09-20 15:33:01
1111,163645,4.5,2020-09-20 15:33:02
1111,135133,5,2020-09-20 15:33:03
1111,116823,5,2020-09-20 15:33:04
1111,106487,5,2020-09-20 15:33:05
1111,91500,5,2020-09-20 15:33:06